"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.564440584,      -9.281546705,      -10.05994918,      -10.00200659,      -4.747371167,      -11.43570723
          0,           0,           1,      -4.605080283,      -4.447919841,      -5.632856914,      -4.608443773,      -4.768266597,      -11.43024727
          0,           0,           2,      -4.598562389,      -4.439787946,      -5.649797009,       -4.60941184,      -4.763443742,      -11.43619659
          0,           0,           3,      -4.596725818,      -4.436161301,       -5.65519186,      -4.609781485,      -4.760630235,      -11.53073262
          0,           0,           4,      -4.578289557,      -4.416523394,      -5.695517187,      -4.614093382,       -4.74702411,      -11.62264792
          0,           0,           5,      -4.556128323,      -4.395337493,      -5.720156721,       -4.62054238,      -4.729935387,      -11.53636135
          0,           0,           6,      -4.496018837,      -4.348406197,      -5.709005378,      -4.643214763,      -4.679154992,      -11.59176645
          0,           0,           7,       -4.47083812,      -4.325984708,      -5.666984703,      -4.651052262,      -4.656121856,      -11.48037765
          0,           0,           8,      -4.440529088,      -4.304836688,       -5.61758868,      -4.662114017,       -4.62725205,       -11.5200637
          0,           0,           9,      -4.410459299,      -4.284927077,      -5.584802859,       -4.67217834,      -4.596345285,      -11.41359314
          0,           0,          10,      -4.397522182,      -4.276311452,      -5.578675575,      -4.676142865,      -4.580722386,       -11.4003892
          0,           0,          11,      -4.337346887,      -4.233516007,      -5.557732399,      -4.699321868,       -4.52026772,      -11.55090246
          0,           0,          12,      -4.313857816,      -4.215600802,      -5.561832752,      -4.703545453,      -4.493020625,      -11.27728609
          0,           0,          13,      -4.220459731,      -4.142844779,      -5.554640361,      -4.743353185,      -4.405758309,      -11.12443033
          0,           0,          14,      -4.136680895,      -4.073620531,      -5.514560895,       -4.74877804,      -4.321482713,      -11.05155774
          0,           0,          15,      -4.085398268,      -4.031859619,      -5.481990848,      -4.720938951,      -4.263601938,      -10.90829596
          0,           0,          16,      -4.034973331,      -3.995359274,        -5.4562389,      -4.680687783,      -4.207816757,      -11.17221403
          0,           0,          17,      -4.031012061,      -3.993957549,      -5.446986931,      -4.679532075,       -4.19884724,      -11.21586515
          0,           0,          18,      -4.028376653,      -3.992798346,      -5.449967627,      -4.678068175,      -4.195903375,      -10.91164351
          0,           0,          19,      -3.927547673,      -3.907296157,      -5.376796037,       -4.57889782,      -4.084840266,      -11.01059979
          0,           0,          20,       -3.90467695,      -3.886997883,      -5.384919923,      -4.555562765,      -4.059423207,      -10.77021776
          0,           0,          21,      -3.852962513,      -3.841522621,      -5.365891029,      -4.406990878,      -4.010945523,      -10.77732427
          0,           0,          22,      -3.858102931,      -3.848607927,      -5.352642875,       -4.48067615,      -4.008257793,      -10.65234707
          0,           0,          23,      -3.824663772,      -3.818613869,      -5.327777937,       -4.46267596,      -3.973787631,       -10.6769499
          0,           0,          24,      -3.785950065,      -3.781019531,      -5.316558306,      -4.403024135,      -3.935598096,      -10.46051012
          0,           0,          25,      -3.715459479,      -3.712631412,      -5.236781277,      -4.388682028,       -3.86403217,      -10.51639332
          0,           0,          26,      -3.713778754,      -3.711612484,      -5.208177506,      -4.370272026,      -3.856510503,        -10.377448
          0,           0,          27,      -3.694625293,      -3.693112907,      -5.147098408,      -4.366021802,      -3.835040936,       -10.3664931
          0,           0,          28,      -3.669513581,      -3.668586618,      -5.116414735,      -4.344768056,      -3.814038204,      -10.16215783
          0,           0,          29,       -3.60174808,      -3.601309691,      -5.064172027,      -4.288836849,      -3.755974777,      -10.13003341
          0,           0,          30,      -3.555324084,      -3.555322886,      -5.008740905,      -4.256981479,      -3.710405696,      -9.936333323
          0,           0,          31,      -3.514514578,      -3.514799252,      -4.938173547,      -4.219054553,      -3.673295877,      -10.05079818
          0,           0,          32,      -3.486552364,      -3.486935391,      -4.907809008,       -4.17998149,      -3.646813976,      -10.02342178
          0,           0,          33,      -3.452144844,      -3.452357606,      -4.908640081,      -4.173580222,      -3.612176478,      -9.835505228
          0,           0,          34,      -3.428974324,      -3.428840278,      -4.901392947,      -4.068510437,       -3.58296991,      -9.642457908
          0,           0,          35,      -3.385624633,      -3.385372888,       -4.85033928,      -4.001881448,      -3.539095302,       -9.34411564
          0,           0,          36,      -3.257362655,      -3.257383316,      -4.820861273,      -3.802727177,      -3.395358469,      -8.970956037
          0,           0,          37,       -3.11350704,      -3.114206269,      -4.784550696,      -3.582126186,      -3.241691034,      -8.959553398
          0,           0,          38,      -3.055891355,      -3.056558321,      -4.698316789,       -3.49463162,      -3.194172011,      -9.042713879
          0,           0,          39,      -3.028851555,      -3.029429418,      -4.595769008,      -3.425681781,      -3.160520971,      -8.944462735
          0,           0,          40,      -3.007354587,      -3.007873932,      -4.554834454,      -3.383896443,      -3.127903149,       -8.76798283
