"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.564440584,      -9.281546705,      -10.05994918,      -10.00200659,      -3.957274518,      -11.53754045
          0,           0,           1,      -4.941976615,      -4.873241409,      -5.350605015,      -4.614843288,      -4.324956459,      -11.64176411
          0,           0,           2,      -4.933701755,      -4.825079356,       -5.16495304,      -4.946472171,      -4.315899845,      -11.58373133
          0,           0,           3,      -4.972056393,      -4.890718721,      -5.073435429,      -5.022370487,      -4.368157627,      -11.61309069
          0,           0,           4,      -4.942832206,      -4.886504384,      -5.014241245,      -4.998609552,       -4.34292989,      -11.62387707
          0,           0,           5,      -4.957769764,       -4.91348111,      -5.026538142,      -4.998132394,      -4.361642282,      -11.59608784
          0,           0,           6,      -4.957532111,      -4.926269213,      -5.012561493,      -5.023826626,       -4.36279946,      -11.60629304
          0,           0,           7,      -4.962010687,        -4.9294064,      -5.004124264,      -5.035886624,      -4.364878155,      -11.61189922
          0,           0,           8,      -4.987817853,      -4.951072407,      -5.023930171,      -5.042241985,      -4.388279048,      -11.60098772
          0,           0,           9,      -5.005301281,      -4.975228618,       -5.03727233,      -5.067492042,       -4.40685766,      -11.58556198
          0,           0,          10,      -5.011091072,      -4.993617299,      -5.050620791,      -5.095829132,      -4.415742546,      -11.56235691
          0,           0,          11,      -5.008635125,      -5.001794937,      -5.054271771,      -5.122137404,      -4.414298372,       -11.5404088
          0,           0,          12,      -5.016522206,      -5.016272841,      -5.073257774,      -5.136231653,      -4.421135979,      -11.51242357
          0,           0,          13,      -5.022995257,      -5.025412117,      -5.082950999,      -5.147072544,      -4.425424045,       -11.4811239
          0,           0,          14,      -5.036352455,      -5.042131579,      -5.102931034,      -5.158444343,      -4.438087791,      -11.44132377
          0,           0,          15,        -5.0449762,      -5.058327135,      -5.111199537,      -5.179383989,      -4.447622991,      -11.39501845
          0,           0,          16,      -5.062631594,      -5.086513123,      -5.135675478,      -5.205104395,       -4.46685466,      -11.34016396
          0,           0,          17,      -5.072605697,      -5.108005102,      -5.146637615,      -5.238372178,      -4.477691069,      -11.27974619
          0,           0,          18,      -5.090197542,      -5.134507398,      -5.173376366,      -5.268068546,      -4.495140582,      -11.21352714
